Advertiser,Advertiser Currency,Insertion Order,App/URL,Impressions,Clicks,Click Rate (CTR),Total Conversions,Post-Click Conversions,Post-View Conversions,Revenue (Adv Currency),Media Cost (Advertiser Currency)
,,,,2197134,4236,0.19%,0,0,0,486.320419,381.128855
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,999.md,194065,179,0.09%,0,0,0,29.437524,23.07016
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,mamaplus.md,109654,219,0.20%,0,0,0,22.864291,17.918723
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,unica.md,105374,300,0.29%,0,0,0,26.151545,20.494941
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,publika.md,94506,45,0.05%,0,0,0,9.944962,7.793857
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,unimedia.info,89409,82,0.09%,0,0,0,14.931854,11.70208
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,"Caller ID, Calls, Phone Book & Contacts: Eyecon - Android (com.eyecon.global)",52320,131,0.25%,0,0,0,13.111671,10.275604
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,echipa.md,47394,98,0.21%,0,0,0,11.497147,9.010303
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,Viber Messenger - Android (com.viber.voip),42386,130,0.31%,0,0,0,11.580716,9.075796
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,gismeteo.md,39065,23,0.06%,0,0,0,4.445157,3.483665
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,point.md,34024,126,0.37%,0,0,0,10.303348,8.074724
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,jurnal.md,33152,87,0.26%,0,0,0,8.410658,6.591425
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,meteo2.md,30348,19,0.06%,0,0,0,5.009917,3.926267
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,deschide.md,28140,53,0.19%,0,0,0,8.3853,6.571552
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,stiri.md,23699,63,0.27%,0,0,0,5.524849,4.329819
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,devizitat.org,23411,71,0.30%,0,0,0,6.084418,4.768353
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,Low volume inventory,20939,51,0.24%,0,0,0,5.188603,4.066303
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,diez.md,18223,2,0.01%,0,0,0,0.962104,0.754
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,cotidianul.md,16732,60,0.36%,0,0,0,5.171744,4.053091
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,telegraph.md,16132,33,0.21%,0,0,0,3.906493,3.061515
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,adme.ru,15509,12,0.08%,0,0,0,4.076913,3.195073
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,timpul.md,15139,36,0.24%,0,0,0,4.100402,3.213481
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,enews.md,14641,12,0.08%,0,0,0,1.469415,1.151579
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,mail.yahoo.com,14000,2,0.01%,0,0,0,2.571805,2.015521
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,curs.md,13040,11,0.08%,0,0,0,2.488342,1.950111
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,ziarulnational.md,12892,1,0.01%,0,0,0,1.575131,1.234429
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,esp.md,11654,23,0.20%,0,0,0,3.381329,2.649944
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,realitatea.net,11006,15,0.14%,0,0,0,1.606088,1.25869
